GivenName,Surname
Christelle,Dandonneau
Dalmace,Chatigny
Mathilde,Ruest
Auda,Laframboise
Mavise,Angélil
Landers,Auger
Ermengardi,Ruel
Gaspar,Busson
Ranger,Cotuand
Lundy,Levasseur
Henriette,Tachel
Esmeraude,Levasseur
Martine,Vachon
Gaston,Tardif
Victoire,Tollmache
Avent,Beaulac
Belda,Étoile
Raymond,Quirion
Dominique,Chatigny
Anton,Caron
Aya,Lafond
Gabrielle,Therriault
Barry,Duplessis
Avelaine,Bilodeau
Demi,Charbonneau
Honore,Lagueux
Philip,Courtemanche
Jérôme,Fugère
Artus,Laderoute
Marine,Deslauriers
Viollette,Denis
Vallis,Garreau
Orson,D'Aubigné
Galatee,Chassé
Byron,Jolicoeur
Alexandrie,Lanoie
Chappell,St-Pierre
Rosemarie,Cliche
Éléonore,Mailly
Alexandre,Grondin
Astolpho,Béland
Blanche,Couture
Laurent,Legault
Margaux,Mercure
Cerise,Labbé
Percy,Thivierge
Albertine,Cailot
Cher,Gagnon
Hugues,Lapresse
Véronique,Dodier
Huon,Petit
Clementine,Bouvier
Estelle,Poisson
André,Sanschagrin
"La Roux","de Brisay"
Royden,Beaulac
Lowell,Chabot
Ernest,Lanteigne
Toussaint,Blais
Harcourt,Marcil
Marc,Parmentier
Rive,L'Anglais
Orane,Lanoie
Donat,Béland
Louis,Bureau
Ambra,Lespérance
Orville,Avare
Vincent,Berie
Marjolaine,"Du Trieux"
Aurore,Lachapelle
Ferrau,Vernadeau
Javier,Mathieu
Audrey,Sacré
Damiane,Bussière
Joy,Belisle
Marveille,Lejeune
Merle,St-Jacques
Julien,Labonté
Norris,Petrie
Marphisa,Briard
Agathe,Côté
Victorine,Rhéaume
Logistilla,Rouze
Marlon,Gervais
Alphonse,Daoust
Geoffrey,Morneau
Oriel,Jobin
Maslin,Béland
Gemma,Paquette
Valentine,Quiron
Brigitte,Bouvier
Dominique,Mainville
Eliot,Duclos
Adrien,Devoe
Fortun,Duffet
Lucas,Lajoie
Afrodille,Étoile
Afrodille,Lalonde
Virginie,Lambert
Monique,Benoit
Camille,Batard
Talon,Jodoin
Grosvenor,Vallée
Fabrice,Charpentier
Sydney,Lamontagne
Agathe,Chassé
Georgette,Lachance
Harriette,Bourassa
Véronique,Pirouet
Vachel,Potvin
Charmaine,Vernadeau
Olivie,Allaire
Corinne,Lampron
Henriette,Massé
Bertrand,Poulin
Renée,Goulet
Peverell,LeBatelier
Delphine,Martel
Zoé,Lagrange
Annette,Gamache
Eulalie,Dubé
Aurélie,Parrot
Luc,Mercier
Charlot,Pirouet
Philippine,Cuillerier
Genevre,Drouin
Durandana,Moïse
Liane,Poirier
Harbin,Gaulin
Amabella,Routhier
Baptiste,Salois
Christien,Perreault
Germain,Dupuy
Ancelina,Turcotte
Latimer,Monjeau
Yves,Blondlot
Damiane,D'Aubigné
Nicolas,Busson
Didier,Hervieux
Luce,Soucy
Merci,Lereau
Arienne,Bois
Véronique,Miron
Talbot,LeBatelier
Audrey,Chartier
Vick,Vaillancourt
Ganelon,Reault
Flordelis,Mailloux
Patience,Sansouci
Arlette,Longpré
Iven,Gilbert
Dalmace,Pomerleau
Oliver,Goddu
Clothilde,Paquet
Nicholas,Lalonde
Dixie,Fongemie
Patrice,Lessard
Troy,Jomphe
Villette,Guibord
Océane,Auberjonois
Avice,Hughes
Bayard,Rouleau
Ormazd,Chalifour
Odette,Aupry
Amaury,Thibault
Verney,Bonnet
Gemma,Brochu
Varden,Monjeau
Maslin,Blanc
Brier,Charbonneau
Damiane,Goudreau
Véronique,"Des Meaux"
Tearlach,Renaud
Saber,Chassé
Adrienne,Laberge
Delit,Lapointe
Algernon,Caya
Demi,Devost
Lance,Marcil
Amaury,Chrétien
Burrell,Poulin
Nicole,Hachée
Odo,"de Chateaub"
Alita,Babin
Manville,Roux
Matilda,Caya
Roxanne,Martin
Fitz,"de Brisay"
Rule,Briard
Merci,Guernon
Yseult,Grenier
Charmaine,Boisclair
Rabican,Perreault
Vallis,Beausoleil
Amélie,Bernier
Gérard,Rodrigue
Aurélie,Simard
Robinette,Labbé
Vedette,Bonami
Julien,Pouliotte
Dreux,Saurel
Julien,Bellefeuille
Gradasso,DeGrasse
Ray,Josseaume
Voleta,Beausoleil
Thomas,Beausoleil
Xavierre,Girard
Orane,Leduc
Gauthier,Houle
Marine,Lépicier
Georges,Daoust
Dreux,Parizeau
Emmeline,Lamoureux
Christine,Bellefeuille
Demi,Latourelle
Roslyn,Barrette
Sidney,L'Anglais
Élodie,Drouin
Florus,Arpin
Suzette,Laframboise
Vail,Guédry
Charlot,Miron
Aurore,Berger
Agramant,Létourneau
Vachel,Laliberté
Nicholas,Panetier
Marc,Pichette
Jolie,Truchon
Hugh,Sylvain
Dominic,Blanchard
Fauna,Therrien
Felicien,Lussier
Sydney,Favreau
Jolie,Duranseau
Christiane,Bussière
Roslyn,Marleau
Russell,Lefèbvre
Gallia,Beaudry
Marveille,Bler
Vail,Artois
Stéphanie,Varieur
Ray,Deserres
Julie,Therriault
Raymond,Laramée
Prewitt,Côté
Donatien,Mazuret
Aubin,Beaudoin
Curtis,Cliche
Madeleine,Morneau
Seymour,Mailloux
Gradasso,Lambert
Searlas,Marseau
Gaetan,Quiron
Michèle,Lamarre
Emmanuelle,Lagueux
Fealty,Simard
Maureen,Sabourin
Alfred,Charron
Somer,"De La Ronde"
Agnès,Guernon
Alain,Cinq-Mars
Harcourt,Chicoine
Aya,Paquin
Laverne,Garcia
Carole,Gaudreau
Angelette,Dubeau
Henri,Paulet
Hardouin,Lécuyer
Joseph,Auger
Michel,Leroy
Carole,Lemaître
Brie,Barteaux
Agate,Chicoine
Amitee,Baron
Fifine,Royer
Nouel,Jodion
Parnella,Picard
Orville,Doiron
Lucille,Lizotte
Xarles,Belisle
Jewel,Dufresne
Arlette,Charlebois
Gérard,Adler
Gemma,Cantin
Searlait,Lambert
Durandana,Blanchard
Ferragus,Bienvenue
Martin,Lauzier
Raoul,Fugère
Huon,Salmons
Marphisa,Petit
Villette,Lamour
Éric,Miron
Colette,Bisson
Bayard,L'Angelier
Burkett,Lafrenière
Noémi,Lécuyer
Capucine,Bordeleau
Norris,Pitre
Thérèse,Garceau
Matilda,Rochon
Eleanor,Berthelette
Alita,Panetier
Jacques,Faucher
Denise,Quessy
Laure,Deslauriers
Burkett,Narcisse
Ranger,Labelle
Adrien,Saindon
Oliver,Lauzier
Natalie,Bérubé
Théophile,Plante
Cammile,"Des Meaux"
Vignette,Saindon
Danielle,Boileau
Jean,D'Avis
Beltane,Lacombe
Jeannine,Lanoie
Noël,Frappier
Telford,Bilodeau
Guillaume,Martineau
Frontino,Beauchamp
Senior,Rivard
Adèle,Auger
Victorine,Bourgeau
Fabienne,Beaujolie
Voleta,Babin
Langley,Mireault
Mignonette,Belisle
Loring,Vertefeuille
Philippe,Caya
Gallia,Riel
Adèle,Chevrette
Juliette,Dufresne
Tilly,Dupuis
Pauline,Moquin
Patrick,Lachapelle
Natalie,Charlesbois
Javier,Turgeon
Namo,Mercure
Éléonore,Lamy
Cammile,Lavoie
Honoré,Durand
Oriel,Ducharme
Camille,Beaujolie
Babette,Patry
Leone,Pinette
Clovis,Lacasse
Medoro,Allain
Jeoffroi,Jetté
Christabel,Faubert
Guillaume,Chouinard
Searlas,Dagenais
Hedvige,Gingras
Bruno,Faucher
Javier,Paquin
Astrid,Lejeune
Tristan,Beaulé
Avent,Goddu
Alaine,Doyon
Laurence,Lacroix
Percy,Cliche
Villette,Chalut
Colette,Paimboeuf
Dorene,Cailot
Namo,Marseau
Manville,Audibert
Vallis,Collin
Orville,Arnoux
Loring,Morel
Camille,Voisine
Pansy,Martel
Ganelon,Rochon
Cerise,Audet
Anaïs,L'Angelier
Arber,Beaudry
Laurence,Adler
Raina,Tardif
Vallis,Lauzier
Angelette,Monjeau
"La Roux",Marcil
Capucine,Larocque
Searlas,Lamour
Hortense,Dumont
Henriette,Coulombe
Maslin,Fongemie
Lorraine,Clavet
Jules,Marcil
Somer,Racicot
Élisabeth,Henrichon
Alexandre,Fremont
Vernon,Rodrigue
Alexis,Desaulniers
Jacqueline,Richer
Guy,Marseau
Virginie,Beauchesne
Mavise,Lafrenière
Fitz,Collin
Phillipa,Corbin
Guy,Bonneville
Éléonore,Robitaille
Phillipa,Labrecque
Blanchefle,Quenneville
Aubrey,Lessard
Montague,Étoile
Eugenia,Boivin
Cendrillon,Melanson
Aleron,Asselin
Claude,Chabot
Grégoire,Salmons
Hardouin,DeGrasse
Paige,Sacré
Nathalie,Audet
Mireille,Doyon
Luce,Beaudoin
Harbin,Lamothe
Amarante,Bouchard
Orlene,Bourdette
Thomas,Lajeunesse
Senior,Langlois
Villette,Chaloux
Zdenek,Busson
Donatien,Sauvé
Melisande,Boivin
Avenall,Turgeon
Raoul,Savoie
Rosemarie,Godin
Harriette,Tisserand
Stéphanie,Paré
Yseult,Lagueux
Agathe,Fresne
Jesper,Beaudouin
Odo,Parenteau
Marguerite,Cinq-Mars
Odo,Bourgouin
Hélène,Leduc
Fabienne,Dumoulin
Aleron,Barrientos
Roger,Bourget
Cloridan,Brousseau
Florus,Gervais
Azura,Camus
Afrodille,Dupuy
Amorette,Allain
Leone,Petit
Jacqueline,Michel
Babette,Goddu
Jeanne,Vallée
Stéphane,Rossignol
Zurie,Léveillé
Inès,Mousseau
Madelene,Leblanc
Arber,Tremblay
Élisabeth,Petit
Amabella,LaGarde
Sydney,Salois
Travers,Vachon
Avice,Despins
Namo,Paiement
Pomeroy,CinqMars
Baptiste,Goudreau
Christien,Jalbert
Gaspar,Quessy
Anne,Bossé
Troy,Audet
Frédérique,L'Heureux
Yves,Chevrette
Arnaud,Poissonnier
Joanna,Bienvenue
Eustache,Echeverri
Aubin,Lajoie
Holly,Lajeunesse
Adrien,Busque
Fauna,Parmentier
Searlait,Émond
Avent,"Du Trieux"
Delmare,Rochefort
Berangaria,Dupuy
Martine,Houle
Zurie,Berthiaume
Lowell,Ratté
Roger,Brisette
Yves,Collin
Hortense,Gareau
Michel,Boisvert
Léon,Bonsaint
Trinette,Beauchamps
Jeanne,Truchon
Fayme,Longpré
Medoro,Clavette
Brie,Bazin
Brice,Paimboeuf
René,Parmentier
Adorlee,Fontaine
Esmeraude,Lacombe
Gaspar,Desruisseaux
Thierry,Grivois
Emmanuel,Blais
Elita,Paquin
Yvette,Gaillard
Cendrillon,Lavallée
Marveille,Croquetaigne
Saber,Lacombe
Matilda,Lesage
Fabien,Vincent
Louise,Lacombe
Alfred,Audet
Yvette,"Des Meaux"
Hugues,Coudert
Orville,Desnoyers
Durandana,Bellemare
Courtland,Bouvier
Fortun,LeBatelier
Pierrette,Dennis
Leala,Avare
Philippine,Coulombe
Manville,Bonneville
Neville,Tremblay
Josephe,Desnoyer
Madelene,Sanschagrin
Falerina,Veilleux
Fabien,Lamontagne
Daisi,Noël
Travers,Fresne
Merci,Desaulniers
Angelette,Lagrange
Astolpho,Chabot
Searlas,Lépicier
Orville,Lejeune
Ignace,Arnoux
Yolette,Jodion
Théophile,Quiron
Musette,Marcil
Avice,Cousteau
Tempeste,Séguin
Erembourg,Crête
Channing,Lagueux
Jacques,Bonenfant
Gay,Guilmette
Pierrette,Garreau
Cher,Quinn
Guillaume,Jalbert
David,Morneau
Jolie,Godin
Marveille,Miron
Burnell,Bourassa
Bernard,Abril
Corette,Ruel
Tempeste,Godin
Brice,Deniger
Alfred,Langlais
Amaury,Lemelin
Cerise,Gabriaux
Simone,Déziel
Joseph,Beaudry
Flordelis,Baril
Liane,Bertrand
Lowell,Mailly
Caroline,Norbert
Heloise,Leroux
Édith,Poulin
Baptiste,LaGarde
Percy,Lacroix
Burrell,Migneault
Satordi,Despins
Thiery,Guay
Merle,Duranseau
Ophelia,Perillard
Toussaint,Pariseau
Voleta,Franchet
Odo,Chrétien
Bertrand,Gaillou
Felicien,Routhier
Victoire,Lamoureux
Bruce,Cuillerier
Donatien,Poirier
Suzette,Patel
Vail,Cousteau
Hortense,Laramée
Gifford,Beausoleil
Felicienne,Grondin
Charlot,Potvin
Renée,Chauvet
Roland,Laisné
Anne,Batard
Belisarda,Fongemie
Maurelle,L'Angelier
Thibaut,Bienvenue
Julien,Marseau
Delmar,Gervais
Quennel,David
Henriette,Bois
Delmar,Sauvé
Melusina,Tougas
Charles,Pelletier
Paul,Gabriaux
Coralie,Perillard
Seymour,Mailly
Roland,Noël
Afrodille,Lafond
Porter,Vernadeau
Gabriel,Gaillard
Annette,Patenaude
Christelle,Forest
Gabriel,Sevier
Astolpho,Lagueux
Bartlett,Rancourt
Aubert,Franchet
Lowell,St-Jean
Pensee,Dupéré
Beaufort,Deslauriers
Cloridan,Saindon
Arlette,Sauvé
Louis,Dufour
Robinette,Aubin
Avenall,Compagnon
Warrane,Côté
Clarimunda,Dionne
Beaufort,Dumont
Ray,Vachon
Eloise,Brochu
Valentine,Michaud
Medoro,Lizotte
Huette,Ferland
Hedvige,Deserres
Leverett,Grandbois
Searlait,Descoteaux
Lotye,Royer
Fiacre,Brousseau
Gustave,Babin
Lyle,Barteaux
Turner,Pirouet
Christine,Bolduc
Trinette,Durepos
Albertine,Petrie
Satordi,Cyr
Louise,Dostie
Christabel,Briard
Mercer,Turgeon
Rosemarie,Franchet
Troy,Guimond
Calandre,Savoie
Talon,Therriault
Isaac,Caisse
Sacripant,Leduc
Clothilde,Lafontaine
Loyal,Saindon
Amarante,Deschamps
Belisarda,Tisserand
Archard,Drouin
Nicholas,Descoteaux
Fealty,Parenteau
Mandel,Bonami
Searlait,Gilbert
Claire,Soucy
Villette,Michel
Ranger,Tardif
Natalie,Faucher
Théodore,Blanc
Verrill,Gagné
Melusina,Sorel
Noémi,Rossignol
Chapin,Quinn
Arno,Giguère
Trinette,Ouellet
Kari,Godin
Barry,Girard
Malagigi,Arcouet
Caresse,Villeneuve
Étienne,Arsenault
Normand,Deniger
Marguerite,Bourdette
Patience,Norbert
Jean,Lemelin
Mayhew,Jacques
Geneviève,Gabriaux
Cécile,Thibodeau
Maurelle,Dufour
Kerman,Doucet
Odelette,Villeneuve
Belda,Jalbert
Paulette,Bizier
Faustin,Dumoulin
Azura,Brochu
Percy,Grivois
Huon,Caouette
Chantal,Giguère
Aleron,Riquier
Faustin,Baron
Bellamy,Marseau
Christiane,Caya
Serge,Lachapelle
Ansel,Senneville
Audrey,Belisle
Gaetan,Viens
Merci,Huard
Fanchon,Potvin
Arnaude,Giguère
Frédérique,Mousseau
Karlotta,"de Launay"
Juliette,Chastain
Tearlach,Bler
Harbin,Gauthier
René,Guédry
Azura,Chatigny
Hamilton,Lagueux
Granville,Lacombe
Harcourt,Beaudoin
Saville,Desaulniers
Josephe,Chenard
Alaine,Brault
Porter,Charest
Roger,Maheu
Leroy,Audet
Marjolaine,Lavoie
Pascal,Chenard
Georges,Houde
Hamilton,Daoust
Valentine,Gauthier
Marcel,Marcil
Didiane,Lépicier
Blanche,Berthiaume
Searlas,Mercure
Travers,Bureau
Melusina,Brochu
Anastasie,D'Aoust
Brigitte,Vaillancour
Valentine,Babin
Chantal,Paiement
Joseph,Landry
Victorine,Meilleur
Xarles,Lachance
Melisande,Joly
Édith,Chaussée
Joseph,Louis
Berangaria,Legault
Jewel,Vadeboncoeur
Marjolaine,Leclair
Sargent,Moquin
Patricia,Ruais
Berangaria,Riquier
Blanchefle,Doiron
Virginie,Généreux
Zdenek,Gregoire
Elita,Lazure
Saber,Durand
Marveille,Quessy
Peverell,Goddu
Jewel,Dostie
Christelle,Beausoleil
Florus,Marchesseault
Alphonsine,Rochefort
Fletcher,Sylvain
Toussaint,Vadnais
Christelle,Laux
Capucine,Bérubé
Alexandre,Perrault
Arridano,Rivière
Astolpho,Angélil
Belle,Grandbois
Talon,Paiement
Armina,Lajoie
Frontino,Pariseau
Jeanette,Parizeau
Fusberta,Camus
Nicolas,Sicard
Frontino,Bourgeau
Delmar,Léveillé
René,Beauchemin
Peppin,Chauvet
Telford,Morin
Robinette,Tardif
Damiane,Veilleux
Ruby,Desjardins
Romain,Lereau
Algernon,Gendron
Germain,Lécuyer
Martine,Gour
Heloise,Landry
Sargent,Lamarre
Melusina,Mouet
Annette,L'Hiver
Eliot,Masson
Jeanne,Émond
Dominique,Lemaître
Millard,Jalbert
Nadine,Turcotte
Odo,Lanctot
Germain,Charbonneau
Mathilde,Mireault
Emmeline,Audet
Brier,Tétrault
Senior,Quenneville
Leal,Aubin
Desire,Migneault
Maurelle,Joly
Barry,Berthiaume
Rule,Lesage
Aimé,Lamothe
Leala,Rouze
Solaine,Mireault
Bernard,Ruais
Harriette,Savoie
Théodore,Deserres
Christiane,Morneau
Caroline,Pouchard
Agnès,Côté
Agathe,Aubin
Varden,Fortin
Claudette,DeGrasse
Sargent,Hachée
Vaden,Sauvé
Roland,Douffet
Jules,Godin
Saber,Chastain
Platt,Blanc
Laurence,Beaulac
Cammile,Marseau
Bertrand,Poulin
Fleur,Jobin
Hilaire,Fremont
Methena,Étoile
Ray,Grandbois
Roch,St-Pierre
Mathilde,Gousse
Belisarda,Pouchard
Telford,Masson
Desire,Gladu
Juliette,Lamare
Raoul,Franchet
Claude,Rocher
Claire,Létourneau
Germaine,Giguère
Sydney,Bazin
Christine,Gadbois
Angelique,Vadnais
Varden,Batard
Platt,Henrichon
Barry,Auberjonois
Burnell,Migneault
Minette,Bourassa
Pascal,Echeverri
David,Thivierge
Leverett,Léveillé
Aya,Édouard
Roger,Léveillé
Arlette,Vadeboncoeur
Audrey,Brodeur
Satordi,Bonami
Bartlett,Bellefeuille
Carine,Boulanger
Logistilla,Laliberté
Henriette,Mouet
Roux,Arcouet
Paige,Charette
Anaïs,Faure
Saville,Fouquet
Françoise,Lesage
Victorine,Barrientos
Nadine,Dostie
Laetitia,Lespérance
Denis,Noël
Noël,Daviau
Pansy,Michaud
Millicent,Allard
Inès,Jobin
Fletcher,Pouliotte
France,Desilets
Laurence,Bisaillon
Paulette,Labrecque
Laurence,Trottier
Olivie,Carignan
Nicolas,Bois
Honore,Lampron
Nadine,Breton
Favor,Coupart
Amorette,Hervieux
Pierpont,Brisebois
Esmeraude,Lanoie
Raison,Dodier
Margaux,Grenier
Joseph,Descoteaux
Orville,Barteaux
Bartlett,Jardine
Didier,Rodrigue
Camille,Lauzier
Bernadette,Martin
Gill,Pichette
Alaine,Boulanger
Mathilde,Talon
Gauthier,Lafond
Patricia,Hervieux
Valentine,Boisvert
Honoré,Mailhot
Cammile,Ratté
Aubin,Dufour
Christine,Saurel
Isaac,Hervé
Amedee,Bergeron
Parnella,Lanoie
Colette,Duplessis
Davet,Vachon
Avelaine,L'Anglais
Parfait,Dastous
Émile,Dufresne
Élodie,Boulé
Fleurette,Brousseau
Leroy,Bérubé
Javier,Louis
Théophile,Bellemare
Chandler,Briard
Alice,Babin
Rule,Achin
Armina,Veronneau
Lucas,Blanchard
Ignace,Lamarre
Afrodille,Mousseau
Mallory,Paquette
Isaac,Bourgouin
Burnell,Achin
Peverell,Renaud
Marine,Roy
Leal,Beaulé
Roger,Courtois
Pierpont,Lafontaine
Albracca,Chalut
Norris,Gaulin
Amaury,Gosselin
Estelle,LaCaille
Merci,Blanchard
Estelle,Mouet
Pierrette,Berthiaume
Astrid,Houle
Renée,Desjardins
Creissant,Lajeunesse
Halette,Rouze
Eglantine,Tessier
Linette,Courtois
Cammile,Perrault
Tabor,Mercure
Aubert,Beaudouin
Gaetane,"De La Vergne"
Aimé,Masson
Rachelle,Houle
Catherine,Royer
Albertine,Denis
Claude,Louineaux
Brigitte,Chartré
Amedee,Labossière
Danielle,LaCaille
Charline,"De La Ronde"
Fanchon,Boisvert
Christien,Desnoyers
Cécile,Dubé
Desire,Devoe
Comforte,Grandpré
Arianne,Legault
Gallia,Ouellet
Hilaire,Baril
Villette,Lamy
Didier,Brault
Mireille,"De La Ronde"
Arnaud,Pariseau
Genevre,Méthot
Senior,Théberge
Delit,Salmons
Brice,Ruais
Margaux,Lévesque
Brice,Henrichon
Halette,Couture
Karlotta,Bourgeois
Pierrette,Sylvain
Josephe,Charpentier
Emmanuelle,Belisle
Medoro,Achin
Arnaude,Fluet
Carine,Desnoyer
René,Bonsaint
Fabrice,Bonnet
Monique,Flamand
Jacqueline,Rodrigue
Audrey,Montminy
Blanche,Huot
Cammile,Vaillancourt
Pryor,Berthiaume
Grosvenor,Routhier
Jeannine,Barrientos
Warrane,Cloutier
Zerbino,Lamy
Natalie,Deserres
Quennel,Caouette
Adrien,Givry
Robinette,Bourgouin
Mignonette,Hervé
Joséphine,Audet
Valiant,Duclos
Corette,Rochefort
Marjolaine,Croteau
Orva,Lavoie
Aubert,Huot
Melodie,Caisse
Gradasso,Vachon
Daisi,Bélanger
Paulette,Lavoie
Maurice,Garcia
Soren,Coulombe
Clémence,Cloutier
